Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-02-24_01:12:59,27.8,29.8,48.0,38.0,37.0,37.0,48.0,30.5,13.3,3.3,10.0,100.0,42.9,29.7,0,6.5
2022-02-24_01:13:02,27.8,29.8,49.0,38.0,36.0,36.0,49.0,26.1,2.4,1.0,1.0,100.0,29.3,17.2,0,3.7
2022-02-24_01:13:04,27.8,29.8,48.0,36.0,37.0,36.0,48.0,25.9,1.9,3.8,1.0,97.6,29.3,17.2,0,3.7
2022-02-24_01:13:06,27.8,29.8,47.0,39.0,47.0,38.0,39.0,26.7,4.3,100.0,0.5,1.9,30.2,17.9,0,3.7
2022-02-24_01:13:08,27.8,29.8,47.0,38.0,47.0,37.0,37.0,26.0,1.4,100.0,1.0,1.0,29.7,17.5,0,3.7
2022-02-24_01:13:10,27.8,29.8,44.0,37.0,37.0,44.0,38.0,26.5,2.4,47.1,55.1,1.9,29.9,17.7,0,3.8
2022-02-24_01:13:12,27.8,29.8,44.0,37.0,38.0,45.0,40.0,26.9,5.1,0.5,100.0,2.9,29.6,17.4,0,3.7
2022-02-24_01:13:14,27.8,29.8,45.0,38.0,38.0,37.0,45.0,27.6,6.1,1.9,93.3,9.6,30.1,17.9,0,3.8
2022-02-24_01:13:16,27.8,29.8,47.0,37.0,36.0,37.0,47.0,26.0,1.0,1.0,1.4,100.0,29.2,17.1,0.0,3.7
2022-02-24_01:13:18,27.8,29.8,47.0,37.0,37.0,38.0,47.0,25.9,1.4,1.0,2.4,100.0,29.2,17.2,0.0,3.7
2022-02-24_01:13:20,27.8,29.8,49.0,38.0,38.0,47.0,49.0,39.8,1.5,1.0,55.8,99.5,36.3,24.6,0.0,3.9
2022-02-24_01:13:22,27.8,29.8,49.0,38.0,38.0,47.0,50.0,50.9,2.4,1.0,99.5,99.5,42.1,30.9,0.0,3.9
