Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-03-10_02:30:21,27.8,29.8,35.0,34.0,35.0,31.0,33.0,7.3,0.0,12.5,8.3,4.0,18.7,9.6,0,3.1
2022-03-10_02:30:23,27.8,29.8,33.0,33.0,32.0,32.0,34.0,1.1,0.5,1.9,1.4,0.5,7.4,0.3,0,2.0
2022-03-10_02:30:25,27.8,29.8,33.0,33.0,33.0,31.0,34.0,1.3,3.3,0.0,0.0,1.0,7.3,0.2,0,2.0
2022-03-10_02:30:27,27.8,29.8,34.0,33.0,32.0,31.0,34.0,5.7,8.6,1.9,7.2,5.3,10.6,2.8,0.0,2.3
2022-03-10_02:30:29,27.8,29.8,34.0,32.0,32.0,31.0,33.0,1.9,1.0,5.3,1.9,1.0,7.8,0.6,0.0,2.1
2022-03-10_02:30:31,27.8,29.8,35.0,34.0,32.0,31.0,35.0,2.0,2.4,2.4,2.4,1.4,7.7,0.5,0.0,2.1
2022-03-10_02:30:33,27.8,29.8,35.0,33.0,32.0,33.0,34.0,1.6,1.9,0.5,2.9,1.0,7.3,0.2,0.0,2.0
2022-03-10_02:30:35,27.8,29.8,34.0,33.0,33.0,31.0,34.0,1.1,0.0,1.4,1.0,0.5,7.4,0.3,0.0,2.0
2022-03-10_02:30:37,27.8,29.8,33.0,33.0,33.0,32.0,33.0,1.0,0.0,1.0,1.9,1.0,7.4,0.3,0.0,2.0
2022-03-10_02:30:39,27.8,29.8,33.0,32.0,32.0,31.0,34.0,1.3,1.0,2.8,1.9,1.0,7.3,0.2,0.0,2.0
2022-03-10_02:30:42,27.8,29.8,34.0,33.0,32.0,32.0,33.0,1.0,0.5,1.0,1.0,0.5,7.3,0.2,0.0,2.0
2022-03-10_02:30:44,27.8,29.8,33.0,32.0,33.0,32.0,34.0,0.8,0.5,0.5,1.9,1.0,7.3,0.2,0.0,2.0
2022-03-10_02:30:46,27.8,29.8,33.0,33.0,33.0,30.0,34.0,1.0,1.0,1.0,1.0,1.0,7.3,0.2,0.0,2.0
2022-03-10_02:30:48,27.8,29.8,34.0,34.0,33.0,33.0,33.0,1.2,2.4,0.5,1.9,0.0,7.3,0.2,0.0,2.0
2022-03-10_02:30:50,27.8,29.8,33.0,32.0,33.0,30.0,32.0,1.0,0.0,1.0,1.9,0.5,7.3,0.2,0.0,2.0
2022-03-10_02:30:52,27.8,29.8,35.0,34.0,32.0,30.0,35.0,1.0,1.0,0.5,1.4,1.4,7.3,0.2,0.0,2.0
2022-03-10_02:30:54,27.8,29.8,34.0,33.0,32.0,30.0,33.0,1.3,2.4,1.0,0.5,1.9,7.3,0.2,0.0,2.0
2022-03-10_02:30:56,27.8,29.8,34.0,34.0,33.0,30.0,34.0,1.0,0.5,0.5,0.5,1.9,7.3,0.2,0.0,2.0
2022-03-10_02:30:58,27.8,29.8,34.0,34.0,33.0,30.0,35.0,1.2,1.9,0.5,0.5,1.4,7.3,0.2,0.0,2.0
2022-03-10_02:31:00,27.8,29.8,34.0,34.0,31.0,32.0,34.0,1.7,0.5,3.3,0.5,2.4,7.3,0.2,0.0,2.0
2022-03-10_02:31:02,27.8,29.8,34.0,34.0,34.0,30.0,34.0,1.1,0.0,0.5,1.9,1.9,7.3,0.2,0.0,2.0
2022-03-10_02:31:05,27.8,29.8,34.0,33.0,32.0,30.0,33.0,1.0,1.0,0.5,0.5,1.4,7.3,0.2,0.0,2.0
2022-03-10_02:31:07,27.8,29.8,34.0,33.0,32.0,30.0,34.0,1.1,1.9,1.4,0.5,1.4,7.3,0.2,0.0,2.0
2022-03-10_02:31:09,27.8,29.8,34.0,33.0,33.0,32.0,33.0,1.4,1.4,1.9,1.0,1.0,7.3,0.2,0.0,2.0
2022-03-10_02:31:11,27.8,29.8,33.0,33.0,32.0,31.0,34.0,1.1,1.4,0.5,1.0,1.4,7.4,0.2,0.0,2.0
2022-03-10_02:31:13,27.8,29.8,34.0,33.0,31.0,31.0,34.0,1.0,1.9,0.5,1.0,0.5,7.3,0.2,0.0,2.0
2022-03-10_02:31:15,27.8,29.8,34.0,33.0,32.0,31.0,34.0,1.3,1.4,2.8,1.0,0.5,7.3,0.2,0.0,2.0
2022-03-10_02:31:17,27.8,29.8,34.0,33.0,33.0,30.0,35.0,1.3,1.9,1.4,0.5,0.5,7.3,0.2,0.0,2.0
2022-03-10_02:31:19,27.8,29.8,34.0,33.0,33.0,30.0,33.0,1.1,1.9,1.0,1.4,1.0,7.3,0.2,0.0,2.0
2022-03-10_02:31:21,27.8,29.8,35.0,33.0,33.0,31.0,34.0,2.2,1.9,3.4,1.4,1.4,7.7,0.5,0.0,2.1
2022-03-10_02:31:23,27.8,29.8,34.0,32.0,33.0,30.0,34.0,1.7,1.9,1.4,1.4,1.0,7.4,0.3,0.0,2.0
2022-03-10_02:31:25,27.8,29.8,34.0,32.0,31.0,31.0,34.0,0.8,1.9,0.5,0.5,1.0,7.3,0.2,0.0,2.0
2022-03-10_02:31:28,27.8,29.8,34.0,34.0,33.0,31.0,33.0,1.7,1.9,1.9,1.0,2.4,7.5,0.4,0.0,2.0
2022-03-10_02:31:30,27.8,29.8,34.0,33.0,33.0,30.0,35.0,1.4,1.4,1.4,2.4,0.5,7.3,0.2,0.0,2.0
2022-03-10_02:31:32,27.8,29.8,34.0,34.0,32.0,31.0,35.0,0.7,0.5,1.4,0.0,1.0,7.3,0.2,0.0,2.0
