Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-03-17_05:01:49,27.8,29.8,37.0,35.0,34.0,32.0,37.0,1.0,1.4,1.4,0.5,1.0,7.3,0.2,0.0,2.0
2022-03-17_05:01:52,27.8,29.8,36.0,35.0,34.0,34.0,37.0,1.1,1.4,1.9,1.0,0.5,7.3,0.2,0.0,2.0
2022-03-17_05:01:54,27.8,29.8,36.0,36.0,35.0,33.0,36.0,1.3,0.5,1.4,1.0,2.4,7.3,0.2,0.0,2.0
2022-03-17_05:01:56,27.8,29.8,37.0,35.0,34.0,33.0,36.0,0.8,1.4,0.0,0.0,1.4,7.3,0.2,0.0,2.0
2022-03-17_05:01:58,27.8,29.8,36.0,34.0,34.0,33.0,37.0,1.2,2.4,1.4,0.5,1.0,7.4,0.3,0.0,2.0
2022-03-17_05:02:00,27.8,29.8,37.0,36.0,34.0,34.0,36.0,0.8,1.4,0.0,1.0,0.5,7.3,0.2,0.0,2.0
2022-03-17_05:02:02,27.8,29.8,37.0,35.0,34.0,33.0,36.0,1.8,1.9,1.4,2.4,1.4,7.3,0.2,0.0,2.0
2022-03-17_05:02:04,27.8,29.8,36.0,36.0,34.0,34.0,36.0,1.0,1.0,1.0,1.4,0.5,7.3,0.2,0.0,2.0
2022-03-17_05:02:06,27.8,29.8,37.0,36.0,34.0,32.0,37.0,0.8,1.0,1.9,0.5,1.4,7.3,0.2,0.0,2.0
2022-03-17_05:02:08,27.8,29.8,36.0,35.0,34.0,33.0,37.0,1.4,1.9,0.5,2.4,0.0,7.3,0.2,0.0,2.0
2022-03-17_05:02:10,27.8,29.8,36.0,35.0,34.0,32.0,37.0,1.6,1.9,1.0,1.4,1.4,7.4,0.3,0.0,2.0
